HumanId,Seed,CatA,CatB,SharedTagCount,TagJaccard,PrimaryAnchorMatch,HasCautionDifference,BehaviorExactMatch,DifferentiationClass,ProfileSimilarPair
"H01",11111,"クロ","トラ",1,0.200,False,False,False,Strong,False
"H01",11111,"クロ","シロ",0,0.000,False,False,False,Strong,False
"H01",11111,"トラ","シロ",0,0.000,False,False,False,Strong,False
"H01",22222,"クロ","トラ",1,0.200,False,False,False,Strong,False
"H01",22222,"クロ","ソラ",1,0.200,False,False,False,Strong,False
"H01",22222,"トラ","ソラ",1,0.200,False,False,False,Strong,False
"H02",11111,"ナギ","リン",0,0.000,False,True,False,Strong,False
"H02",11111,"ナギ","ポン",0,0.000,False,False,False,Strong,False
"H02",11111,"リン","ポン",0,0.000,False,True,False,Strong,False
"H02",22222,"ナギ","リン",0,0.000,False,True,False,Strong,False
"H02",22222,"ナギ","ポン",0,0.000,False,False,False,Strong,False
"H02",22222,"リン","ポン",0,0.000,False,True,False,Strong,False
"H03",11111,"クロ","ゴマ",1,0.200,False,False,False,Strong,False
"H03",11111,"クロ","ポン",0,0.000,False,False,False,Strong,False
"H03",11111,"ゴマ","ポン",0,0.000,False,False,False,Strong,False
"H03",22222,"クロ","ゴマ",1,0.200,False,False,False,Strong,False
"H03",22222,"クロ","コハル",0,0.000,False,False,False,Strong,False
"H03",22222,"ゴマ","コハル",0,0.000,False,False,False,Strong,False
"H04",11111,"ゴマ","ソラ",0,0.000,False,False,False,Strong,False
"H04",11111,"ゴマ","リン",0,0.000,False,True,False,Strong,False
"H04",11111,"ソラ","リン",1,0.250,False,True,False,Strong,False
"H04",22222,"ミケ","ゴマ",0,0.000,False,False,False,Strong,False
"H04",22222,"ミケ","リン",2,1.000,True,True,False,Strong,False
"H04",22222,"ゴマ","リン",0,0.000,False,True,False,Strong,False
"H05",11111,"ナギ","ツムギ",2,0.667,True,False,False,Moderate,True
"H05",11111,"ナギ","ポン",0,0.000,False,False,False,Strong,False
"H05",11111,"ツムギ","ポン",0,0.000,False,False,False,Strong,False
"H05",22222,"ツムギ","ポン",0,0.000,False,False,False,Strong,False
"H05",22222,"ツムギ","ヨル",1,0.200,False,False,False,Strong,False
"H05",22222,"ポン","ヨル",0,0.000,False,False,False,Strong,False
"H06",11111,"モモ","コハル",2,0.667,True,False,False,Moderate,True
"H06",11111,"モモ","スズ",0,0.000,False,False,False,Strong,False
"H06",11111,"コハル","スズ",1,0.200,False,False,False,Strong,False
"H06",22222,"モモ","コハル",2,0.667,True,False,False,Moderate,True
"H06",22222,"モモ","スズ",0,0.000,False,False,False,Strong,False
"H06",22222,"コハル","スズ",1,0.200,False,False,False,Strong,False
"H07",11111,"ミケ","クロ",0,0.000,False,False,False,Strong,False
"H07",11111,"ミケ","トラ",0,0.000,False,False,False,Strong,False
"H07",11111,"クロ","トラ",1,0.200,False,False,False,Strong,False
"H07",22222,"クロ","リン",0,0.000,False,True,False,Strong,False
"H07",22222,"クロ","アラシ",1,0.200,False,False,False,Strong,False
"H07",22222,"リン","アラシ",0,0.000,False,True,False,Strong,False
"H08",11111,"トラ","サバ",1,0.250,False,False,False,Strong,False
"H08",11111,"トラ","ツムギ",0,0.000,False,False,False,Strong,False
"H08",11111,"サバ","ツムギ",1,0.250,False,False,False,Strong,False
"H08",22222,"トラ","サバ",1,0.250,False,False,False,Strong,False
"H08",22222,"トラ","ゴマ",1,0.200,False,False,False,Strong,False
"H08",22222,"サバ","ゴマ",1,0.250,False,False,False,Strong,False
"H09",11111,"ミケ","ゴマ",0,0.000,False,False,False,Strong,False
"H09",11111,"ミケ","コハル",1,0.250,False,False,False,Strong,False
"H09",11111,"ゴマ","コハル",0,0.000,False,False,False,Strong,False
"H09",22222,"ミケ","コハル",1,0.250,False,False,False,Strong,False
"H09",22222,"ミケ","ヨル",0,0.000,False,False,False,Strong,False
"H09",22222,"コハル","ヨル",0,0.000,False,False,False,Strong,False
"H10",11111,"クロ","トラ",1,0.200,False,False,False,Strong,False
"H10",11111,"クロ","コハル",0,0.000,False,False,False,Strong,False
"H10",11111,"トラ","コハル",0,0.000,False,False,False,Strong,False
"H10",22222,"クロ","コハル",0,0.000,False,False,False,Strong,False
"H10",22222,"クロ","リン",0,0.000,False,True,False,Strong,False
"H10",22222,"コハル","リン",1,0.250,False,True,False,Strong,False
